tweet,label
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the south',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
funny how im a whore all of a sudden ',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
EVERY RETWEET GETS A Pic ?? DM me if youre horny ??DON T FORGET TO FOLLOW ME horny boobs tits pussy porn ama ,0
let me be a whore in peace',0
Referee Gil Manzano\'s repoIn the 28th minute the player Diego Da Silva Costa was sent off for the following motive he s',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Im a whore for yoongi being a whore in leather pants ',0
Im a whore for yoongi being a whore in leather pants ',0
sometimes i wake up in the middle of the night in cold sweat thinking about how madara fucked over obito is entire fucking li ,0
"I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",0
Hahahah whore ass bitch',1
Calling him an attention whore is so damn appropriate right now \xf0\x9f\x98\xad',1
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Im such a whore for pasta ',0
"A cheating whore wife, a piece of shit dad, a bitch who had an abortion, and also a pussy boy who jacks off to my baby da'",1
So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. ',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Free Bro Lil Whore \xf0\x9f\x98\x88\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 ',0
"That bullet was an attention whore, rumour has it Hideo Kojima was inside. '",0
Referee Gil Manzano\'s repoIn the 28th minute the player Diego Da Silva Costa was sent off for the following motive he s',0
I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the south',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Im a whore for yoongi being a whore in leather pants ',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. ',1
Have THEM run a train on YOU hmm.. I knew you fucked around with strap ons you lil whore',1
No i didnt spell that whore name wrong ',1
"Michelle Visage is so full of semen.. period. No, seriously. She is a whore. ",1
"Im gonna take my whore to a lil side rode , '",1
"rt/like to be in a BTS PAVED THE WAY gc-stan bts, duh-bts paved the way-pls be active-i call myself a whore a lot and mak'",0
\xe2\x9c\xa8 RETWEET GAME \xe2\x9c\xa8A cross dressing beta has earned the honor of being drained by his Goddess..$1/$1/$1Unlimited c',0
"You a thottie I wont cuff you like a cop, whore!'",1
"So all Trump has to do in 2020 is beat a Creepy Pedo, a full blown Socialist, a Reparations Whore and a Fake Indian?Is this'",1
Referee Gil Manzano\'s repoIn the 28th minute the player Diego Da Silva Costa was sent off for the following motive he s',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",0
Whore ain t our fault ur project floped Why u on anon tho ,1
So you can be a whore?? Uh uh stay where you at',1
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Referee Gil Manzano\'s repoIn the 28th minute the player Diego Da Silva Costa was sent off for the following motive he s',0
Indian people are fake af I have aunties coming up to me at the temple like abhi we are so proud of everything ur doing! man',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Be sure to send some nudes today you sexy whore',1
"gonna fuck the soul out of you, wanna see you sweating still with your legs wide open and still a fucking needy whore waitin'",1
I want to talk to whore.',1
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
It couldn t be the reason that she belongs to a culture where men and women are enc ,0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"So all Trump has to do in 2020 is beat a Creepy Pedo, a full blown Socialist, a Reparations Whore and a Fake Indian?Is this'",1
Like men dont like whores but they actually do but they tell they woman at home to be the good girl she is but t ',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"A concept a dumwhore being too impatient to wait until their dom is awake, so they ruand take out their cock, '",1
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Im a whore for yoongi being a whore in leather pants ',0
"I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",0
you a whore if you dont walk out. ',1
\xf0\x9f\x98\xad cokes maybe you do and Arreal! No I was gonna come \xf0\x9f\x98\xad your sister was suppose to come too ',0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
"Arsenal players should be up for some acting awards, they seem to go down easier than a drug addled whore after su '",1
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. ',1
"Hey, how do you find me ? What do you want to do to me ? horny boobs tits pussy porn amateurporn cumslut blowjob'",1
Im a whore for yoongi being a whore in leather pants ',0
Im a whore for yoongi being a whore in leather pants ',0
all attention is good attention when you are an insufferable attention whore ,0
"Brasileiros, ajudem a denunciar esse sujeito para a (Universidade de South Carolina), onde ele estuda.Hi , t'",0
Unpopular opinion a whore doesnt know shes a whore even if you tell her',1
