tweet,label
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'RT @darylsturgis: @reesetheone1 I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the south',0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'funny how im a whore all of a sudden https://t.co/A4ZXrcXwFV',0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b""RT @swey92868027: EVERY RETWEET GETS A Pic ???? DM me if youre horny ??????DON'T FORGET TO FOLLOW ME#horny #boobs #tits #pussy #porn #ama""",0
b'@renderlessx let me be a whore in peace',0
"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',0
b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',0
"b""RT @HATAKEROS: sometimes i wake up in the middle of the night in cold sweat thinking about how madara fucked over obito's entire fucking li""",0
"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",0
b'@pradaziam Hahahah whore ass bitch',1
b'@ProfessorSlay Calling him an attention whore is so damn appropriate right now \xf0\x9f\x98\xad',1
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'RT @marievanessaxo: Im such a whore for pasta https://t.co/8DSHYTSTB3',0
"b'RT @Destiny_Oody: A cheating whore wife, a piece of shit dad, a bitch who had an abortion, and also a pussy boy who jacks off to my baby da'",1
b'RT @OfPotterism: So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. https://t',0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'RT @playboileek_: Free Bro Lil Whore \xf0\x9f\x98\x88\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/F2KnX0H4qi',0
"b'@RKGvideo @EGX That bullet was an attention whore, rumour has it Hideo Kojima was inside. https://t.co/BIQNRtVWh2'",0
"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",0
b'RT @darylsturgis: @reesetheone1 I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the south',0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
b'RT @OfPotterism: So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. https://t',1
b'@zebra_300 Have THEM run a train on YOU hmm... I knew you fucked around with strap ons you lil whore',1
b'@Dread_Shak No i didnt spell that whore name wrong ',1
"b""RT @RuBotDragRace: Michelle Visage is so full of semen... period. No, seriously. She's a whore.""",1
"b'Im gonna take my whore to a lil side rode , '",1
b'@jones_kip @GregZeigler63 @Lilysnana2013 @DDW8569 @Carolyncorneli8 @da47panda @nancy_hamm1 @TRUMPGOATPOTUS https://t.co/xn7nzszUdE',0
"b'RT @plteaa: rt/like to be in a BTS PAVED THE WAY gc-stan bts, duh-bts paved the way-pls be active-i call myself a whore a lot and mak'",0
b'RT @goddessalexisxo: \xe2\x9c\xa8 RETWEET GAME \xe2\x9c\xa8A cross dressing beta has earned the honor of being drained by his Goddess...$1/$1/$1Unlimited c',0
"b'You a thottie I wont cuff you like a cop, whore!'",1
"b'RT @CHIZMAGA: So all Trump has to do in 2020 is beat a Creepy Pedo, a full blown Socialist, a Reparations Whore and a Fake Indian?Is this'",1
"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",0
"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",0
"b""Whore ain't our fault ur project floped  Why u on anon tho https://t.co/4BLidXmd2U""",1
b'@__MiguelJ4 So you can be a whore?? Uh uh stay where you at',1
