created,username,tweet,retwc,hashtag,followers,friends,label
07-04-2019 14:39,b'\xc3\x89velin Gomes',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,26,65,0
07-04-2019 14:39,b'auge nega',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,12116,11495,0
07-04-2019 14:39,b'Dudu',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,135,806,0
07-04-2019 14:39,b'JSapp_AR\xf0\x9f\x8d\xa9\xf0\x9f\xa5\x80',b'RT @darylsturgis: @reesetheone1 I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the south',2,None,4187,4382,0
07-04-2019 14:39,b'b e a \xec\x85\x8b',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,531,626,0
07-04-2019 14:39,b'dhokebaaz',b'funny how im a whore all of a sudden https://t.co/A4ZXrcXwFV',0,None,402,292,0
07-04-2019 14:39,b'Jess Fagundes',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,156,468,0
07-04-2019 14:38,b'JohnS',"b""RT @swey92868027: EVERY RETWEET GETS A Pic ???? DM me if youre horny ??????DON'T FORGET TO FOLLOW ME#horny #boobs #tits #pussy #porn #ama""",22,horny,0,22,0
07-04-2019 14:38,b'zel!',b'@renderlessx let me be a whore in peace',0,None,665,207,0
07-04-2019 14:38,b'Brad Evans',"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",1249,None,667,269,0
07-04-2019 14:38,b'Gabriela Reinaldo',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,17,131,0
07-04-2019 14:38,b'cass',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,343,933,0
07-04-2019 14:38,b'Demi',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,1399,990,0
07-04-2019 14:38,b'k',"b""RT @HATAKEROS: sometimes i wake up in the middle of the night in cold sweat thinking about how madara fucked over obito's entire fucking li""",4,None,94,311,0
